DATE,TRADING_CODE,LTP,HIGH,LOW,OPENP,CLOSEP,YCP,TRADE,VALUE_MN,VOLUME
2021-08-02,ACI,285.5,289.0,282.6,284.0,285.5,281.9,859.0,41.313,144789.0
2021-07-29,ACI,281.9,285.0,273.7,273.8,281.9,274.6,1064.0,71.964,255573.0
2021-07-28,ACI,274.6,280.0,269.2,271.7,274.6,271.1,438.0,34.86,128130.0
2021-07-27,ACI,271.1,271.4,269.0,270.3,271.1,270.4,186.0,14.564,53802.0
2021-07-26,ACI,270.4,272.0,269.2,270.2,270.4,271.9,355.0,19.23,71158.0
2021-07-25,ACI,271.9,273.8,268.2,273.8,271.9,271.1,242.0,29.501,109150.0
2021-07-19,ACI,271.1,274.8,269.0,271.1,271.1,271.6,360.0,17.741,65305.0
2021-07-18,ACI,271.6,273.6,270.0,272.1,271.6,272.0,364.0,17.161,63177.0
2021-07-15,ACI,272.0,273.5,270.0,271.5,272.0,271.5,349.0,13.944,51313.0
2021-07-14,ACI,269.0,272.8,267.3,271.2,271.5,271.1,363.0,15.288,56675.0
2021-07-13,ACI,271.1,278.0,266.5,266.5,271.1,265.8,407.0,18.278,67577.0
2021-07-12,ACI,266.0,266.7,263.5,265.1,265.8,265.0,202.0,12.316,46447.0
2021-07-08,ACI,265.0,265.5,263.5,264.5,265.0,264.7,261.0,9.389,35451.0
2021-07-07,ACI,265.0,265.0,260.1,265.0,264.7,266.7,111.0,4.145,15659.0
2021-07-06,ACI,261.5,267.9,260.0,264.9,266.7,260.8,220.0,18.046,68086.0
2021-07-05,ACI,263.0,265.0,259.4,265.0,260.8,263.7,339.0,16.164,61906.0
2021-06-30,ACI,264.0,266.9,263.5,265.5,263.7,263.8,239.0,15.724,59401.0
2021-06-29,ACI,264.9,265.3,260.3,261.1,263.8,260.0,390.0,18.452,69938.0
2021-06-28,ACI,263.9,263.9,258.2,258.9,260.0,258.9,218.0,20.55,78990.0
2021-06-27,ACI,258.9,262.8,250.0,260.0,258.9,263.4,175.0,9.537,36960.0
2021-06-24,ACI,263.4,264.1,261.0,261.0,263.4,262.1,144.0,5.208,19806.0
2021-06-23,ACI,262.1,265.0,261.0,263.9,262.1,263.9,293.0,9.74,37108.0
2021-06-22,ACI,263.5,265.7,263.5,264.1,263.9,264.2,230.0,11.901,45031.0
2021-06-21,ACI,263.9,267.9,263.9,264.4,264.2,265.0,244.0,12.393,46869.0
2021-06-20,ACI,265.4,265.4,260.8,263.5,265.0,263.5,241.0,7.86,29915.0
2021-06-17,ACI,263.5,267.0,263.3,266.0,263.5,263.7,349.0,21.24,80374.0
2021-06-16,ACI,263.3,267.0,263.3,267.0,263.7,269.7,536.0,36.596,138168.0
2021-06-15,ACI,268.7,272.0,265.0,270.0,269.7,269.1,457.0,52.332,193645.0
2021-06-14,ACI,269.1,285.3,266.3,285.3,269.1,262.5,1539.0,105.844,387893.0
2021-06-13,ACI,262.5,265.0,260.6,264.5,262.5,264.5,387.0,21.094,80313.0
2021-06-10,ACI,264.5,266.5,261.1,261.5,264.5,261.5,1176.0,77.926,293957.0
2021-06-09,ACI,261.5,266.4,260.0,262.6,261.5,262.5,832.0,45.641,172867.0
2021-06-08,ACI,260.0,265.0,258.1,261.0,262.5,261.1,910.0,39.498,151294.0
2021-06-07,ACI,261.1,265.0,253.0,253.0,261.1,253.8,1685.0,94.824,362013.0
2021-06-06,ACI,252.0,255.6,246.8,247.0,253.8,246.6,702.0,31.136,124036.0
2021-06-03,ACI,248.1,248.8,246.0,247.6,246.6,247.6,427.0,16.251,65734.0
2021-06-02,ACI,247.2,248.5,246.2,246.2,247.6,247.1,219.0,6.665,26943.0
2021-06-01,ACI,247.1,249.0,245.6,246.5,247.1,246.3,342.0,9.902,40071.0
2021-05-31,ACI,246.9,248.9,246.0,247.0,246.3,246.4,366.0,10.24,41487.0
2021-05-30,ACI,246.4,247.8,246.1,247.8,246.4,247.8,370.0,12.196,49431.0
2021-05-27,ACI,247.8,249.6,246.6,249.6,247.8,249.3,403.0,12.862,51948.0
2021-05-25,ACI,249.3,256.0,244.0,256.0,249.3,256.2,1073.0,43.509,174981.0
2021-05-24,ACI,256.2,262.0,250.4,255.5,256.2,255.2,336.0,9.86,38552.0
2021-05-23,ACI,255.2,258.0,249.6,254.6,255.2,254.6,630.0,25.168,99954.0
2021-05-20,ACI,254.6,260.0,253.0,260.0,254.6,262.1,412.0,11.985,46822.0
2021-05-19,ACI,262.1,268.5,260.1,265.4,262.1,265.4,281.0,8.235,31333.0
2021-05-18,ACI,265.4,269.9,253.1,257.0,265.4,255.2,1018.0,50.242,191318.0
2021-05-17,ACI,256.9,257.5,251.9,254.5,255.2,254.5,594.0,24.437,96109.0
2021-05-16,ACI,254.5,257.9,253.0,255.3,254.5,254.3,257.0,5.889,23127.0
2021-05-12,ACI,254.3,256.8,250.1,256.8,254.3,256.0,242.0,6.28,24710.0
2021-05-11,ACI,256.0,257.0,251.1,251.1,256.0,255.2,449.0,12.453,48682.0
2021-05-09,ACI,255.2,256.0,248.0,249.0,255.2,247.2,761.0,24.734,97538.0
2021-05-06,ACI,248.8,258.0,241.7,244.0,247.2,241.5,383.0,12.035,48541.0
2021-05-05,ACI,243.5,246.1,239.6,243.0,241.5,242.6,275.0,12.232,50537.0
2021-05-04,ACI,242.6,244.8,241.2,243.2,242.6,243.8,155.0,5.329,21996.0
2021-05-03,ACI,243.8,245.0,241.9,241.9,243.8,243.7,188.0,3.488,14328.0
2021-05-02,ACI,243.7,245.0,241.0,241.1,243.7,241.9,195.0,6.329,26062.0
2021-04-29,ACI,241.9,243.3,240.1,240.1,241.9,242.5,111.0,2.54,10494.0
2021-04-28,ACI,242.5,243.9,241.5,243.9,242.5,243.2,148.0,3.81,15689.0
2021-04-27,ACI,243.2,244.8,240.3,243.0,243.2,242.7,235.0,7.163,29451.0
2021-04-26,ACI,242.7,248.9,242.0,244.0,242.7,243.6,139.0,4.867,19976.0
2021-04-25,ACI,244.5,245.0,242.2,244.9,243.6,242.5,177.0,4.948,20295.0
2021-04-22,ACI,242.5,244.0,241.0,244.0,242.5,243.1,122.0,4.298,17741.0
2021-04-21,ACI,243.8,244.8,241.8,243.0,243.1,243.4,60.0,1.091,4491.0
2021-04-20,ACI,243.4,244.9,242.0,244.9,243.4,242.2,81.0,2.068,8504.0
2021-04-19,ACI,242.6,242.6,239.0,240.0,242.2,238.8,76.0,1.465,6073.0
2021-04-18,ACI,238.8,240.0,235.1,235.1,238.8,236.8,114.0,2.463,10346.0
2021-04-15,ACI,236.8,237.8,234.0,234.0,236.8,236.0,71.0,1.812,7660.0
2021-04-13,ACI,236.0,237.0,230.0,230.0,236.0,230.1,129.0,3.94,16863.0
2021-04-12,ACI,230.1,239.3,221.3,221.3,230.1,227.3,64.0,1.162,5061.0
2021-04-11,ACI,230.0,232.0,225.0,232.0,227.3,232.0,175.0,2.776,12263.0
2021-04-08,ACI,232.0,238.0,225.0,228.0,232.0,237.2,186.0,5.418,23574.0
2021-04-07,ACI,237.1,240.7,235.6,240.0,237.2,236.0,99.0,1.558,6548.0
2021-04-06,ACI,238.0,239.0,233.0,234.0,236.0,230.3,146.0,2.517,10676.0
2021-04-05,ACI,228.1,233.9,221.0,221.0,230.3,227.8,71.0,2.105,9101.0
2021-04-04,ACI,227.8,235.0,225.1,231.2,227.8,242.1,262.0,5.607,24295.0
2021-04-01,ACI,239.2,244.0,235.1,239.1,242.1,240.2,262.0,4.239,17744.0
2021-03-31,ACI,240.2,244.8,239.9,243.5,240.2,243.2,215.0,4.293,17808.0
2021-03-29,ACI,242.7,245.9,242.5,245.9,243.2,242.9,115.0,2.918,11936.0
2021-03-28,ACI,243.0,245.4,242.1,243.5,242.9,243.5,48.0,0.669,2752.0
2021-03-25,ACI,243.4,245.5,242.2,244.5,243.5,242.6,102.0,1.734,7130.0
2021-03-24,ACI,242.3,246.3,242.2,243.0,242.6,244.7,153.0,2.038,8375.0
2021-03-23,ACI,244.7,248.0,243.0,245.9,244.7,244.6,266.0,6.6,26793.0
2021-03-22,ACI,248.9,249.0,242.7,245.2,244.6,247.6,325.0,6.243,25508.0
2021-03-21,ACI,248.5,251.7,246.1,248.1,247.6,250.3,197.0,7.385,29852.0
2021-03-18,ACI,250.3,255.0,249.0,253.0,250.3,253.7,289.0,7.604,30330.0
2021-03-16,ACI,253.0,254.5,248.6,248.6,253.7,249.5,593.0,12.044,47554.0
2021-03-15,ACI,248.2,251.9,247.1,249.3,249.5,249.3,227.0,6.833,27471.0
2021-03-14,ACI,248.1,251.7,247.1,250.0,249.3,249.7,248.0,5.465,22012.0
2021-03-11,ACI,249.7,250.5,246.1,247.9,249.7,247.9,230.0,4.974,19951.0
2021-03-10,ACI,248.4,254.6,246.2,254.6,247.9,253.5,362.0,6.585,26414.0
2021-03-09,ACI,253.0,256.6,252.9,255.5,253.5,255.4,334.0,10.729,42104.0
2021-03-08,ACI,255.4,256.0,251.1,251.1,255.4,253.3,628.0,20.655,81113.0
2021-03-07,ACI,253.3,255.7,245.6,247.0,253.3,246.8,547.0,18.537,73830.0
2021-03-04,ACI,246.5,246.9,243.0,243.2,246.8,243.2,205.0,4.991,20303.0
2021-03-03,ACI,243.2,244.8,243.0,243.1,243.2,243.7,155.0,3.452,14161.0
2021-03-02,ACI,243.7,245.8,242.3,242.5,243.7,242.6,168.0,4.341,17763.0
2021-03-01,ACI,242.1,243.8,242.0,243.8,242.6,242.4,100.0,2.433,10033.0
2021-02-28,ACI,243.0,244.9,241.6,243.0,242.4,243.0,125.0,3.168,13059.0
2021-02-25,ACI,243.0,244.0,240.6,244.0,243.0,243.1,216.0,5.324,21967.0
2021-02-24,ACI,240.8,245.0,240.0,242.5,243.1,241.1,255.0,11.613,47981.0
2021-02-23,ACI,241.1,245.8,238.6,240.8,241.1,240.8,180.0,6.656,27529.0
2021-02-22,ACI,241.0,242.2,236.5,242.1,240.8,242.0,159.0,5.434,22652.0
2021-02-18,ACI,242.0,243.0,241.8,243.0,242.0,241.0,143.0,8.053,33215.0
2021-02-17,ACI,241.0,242.8,241.0,242.8,241.0,242.6,199.0,12.765,52897.0
2021-02-16,ACI,242.6,243.0,240.0,240.1,242.6,239.6,126.0,3.577,14784.0
